policy_id,customer_id,agent_id,product_type,policy_start_date,policy_end_date,annual_premium,sum_insured,payment_frequency,policy_status,renewal_flag,source_updated_at
POL0000062,CUST001757,AGT0019,Motor,2024-09-23,2025-10-16,1344.73,120431.94,Annual,Cancelled,0,2026-08-01
POL0000063,CUST001797,AGT0067,Motor,2023-04-02,2024-03-16,1786.94,40000.57,Quarterly,Renewed,1,2026-08-01
POL0000064,CUST002300,AGT0062,Travel,2025-02-24,2025-03-26,569.34,127786.76,Quarterly,Expired,0,2026-08-01
POL0000065,CUST000070,AGT0072,Life,2025-06-10,2026-05-13,6580.04,849588.16,Annual,Renewed,1,2026-08-01
POL0000066,CUST002265,AGT0026,Life,2024-01-15,2025-01-02,5634.07,1315884.68,Quarterly,Renewed,1,2026-08-01
POL0000067,CUST003183,AGT0024,Motor,2023-02-23,2024-01-25,1013.09,108715.58,Annual,Renewed,1,2026-08-01
POL0000068,CUST002405,AGT0066,Travel,2026-01-09,2026-02-05,664.64,60067.34,Monthly,Renewed,1,2026-08-01
POL0000069,CUST002897,AGT0044,Motor,2023-06-14,2024-06-01,1919.16,79941.36,Semi-Annual,Renewed,1,2026-08-01
POL0000070,CUST001351,AGT0005,Medical,2025-07-17,2026-08-15,4252.86,479794.73,Monthly,Active,0,2026-08-01
POL0000071,CUST000748,AGT0063,Motor,2026-06-27,2027-07-11,976.31,92177.27,Monthly,Active,0,2026-08-01
POL0000072,CUST005402,AGT0008,Medical,2026-04-22,2027-05-11,4866.63,278785.16,Quarterly,Active,0,2026-08-01
POL0000073,CUST005942,AGT0002,Life,2023-10-12,2024-10-02,5802.9,1161910.37,Semi-Annual,Cancelled,0,2026-08-01
POL0000074,CUST002447,AGT0075,Medical,2025-03-01,2026-03-28,4560.24,416813.2,Monthly,Cancelled,0,2026-08-01
POL0000075,CUST004568,AGT0079,Medical,2026-05-14,2027-05-16,4699.82,464115.75,Monthly,Active,0,2026-08-01
POL0000076,CUST000844,AGT0057,Medical,2025-07-15,2026-06-18,1402.69,361754.37,Monthly,Renewed,1,2026-08-01
POL0000077,CUST001099,AGT0026,Life,2024-01-11,2024-12-14,5828.98,517174.72,Monthly,Renewed,1,2026-08-01
POL0000078,CUST003119,AGT0014,Medical,2023-05-05,2024-05-30,3940.51,117254.99,Monthly,Expired,0,2026-08-01
POL0000079,CUST004232,AGT0039,Travel,2024-11-07,2025-01-08,597.61,79689.19,Annual,Renewed,1,2026-08-01
POL0000080,CUST004209,AGT0042,Motor,2025-03-03,2026-03-08,1488.41,35098.78,Annual,Expired,0,2026-08-01
POL0000081,CUST002044,AGT0005,Motor,2023-09-04,2024-08-20,1274.76,166243.71,Monthly,Expired,0,2026-08-01
POL0000082,CUST005260,AGT0053,Motor,2024-05-07,2025-05-16,1896.05,176778.63,Semi-Annual,Expired,0,2026-08-01
POL0000083,CUST003798,AGT0004,Motor,2024-07-02,2025-06-09,1314.44,103383.35,Quarterly,Renewed,1,2026-08-01
POL0000084,CUST001901,AGT0040,Medical,2024-10-26,2025-11-16,4852.09,67434.45,Monthly,Expired,0,2026-08-01
POL0000085,CUST002823,AGT0009,Motor,2023-03-12,2024-02-28,1895.0,67353.85,Semi-Annual,Expired,0,2026-08-01
POL0000086,CUST001789,AGT0004,Motor,2024-03-02,2025-02-21,1445.97,82143.84,Annual,Expired,0,2026-08-01
POL0000087,CUST000834,AGT0026,Motor,2026-01-05,2027-02-02,838.23,82508.26,Annual,Active,0,2026-08-01
POL0000088,CUST000035,AGT0048,Medical,2024-01-11,2025-01-31,1672.95,366389.66,Monthly,Cancelled,0,2026-08-01
POL0000089,CUST002761,AGT0074,Life,2025-11-13,2026-11-19,2886.79,1474020.45,Monthly,Active,0,2026-08-01
POL0000090,CUST000038,AGT0005,Medical,2025-12-08,2026-11-09,1680.65,61044.59,Annual,Active,0,2026-08-01
POL0000091,CUST005771,AGT0042,Home,2026-02-05,2027-01-08,1118.1,871740.09,Annual,Active,0,2026-08-01
POL0000092,CUST005266,AGT0062,Motor,2024-12-29,2025-12-28,2098.19,166717.56,Monthly,Renewed,1,2026-08-01
POL0000093,CUST004489,AGT0027,Medical,2024-04-17,2025-03-23,4712.83,435258.85,Monthly,Expired,0,2026-08-01
POL0000094,CUST004502,AGT0065,Motor,2023-11-27,2024-11-08,1960.73,89801.35,Annual,Renewed,1,2026-08-01
POL0000095,CUST003760,AGT0037,Travel,2024-11-30,2025-01-12,516.85,70905.06,Monthly,Renewed,1,2026-08-01
POL0000096,CUST004395,AGT0001,Motor,2025-09-29,2026-09-14,1231.5,96716.74,Annual,Active,0,2026-08-01
POL0000097,CUST005062,AGT0022,Home,2025-12-17,2027-01-06,1610.64,615933.91,Monthly,Active,0,2026-08-01
POL0000098,CUST003076,AGT0034,Life,2023-04-08,2024-04-18,3032.5,468196.03,Quarterly,Renewed,1,2026-08-01
POL0000099,CUST004973,AGT0050,Medical,2026-04-28,2027-03-29,3952.97,230085.27,Monthly,Active,0,2026-08-01
POL0000100,CUST001425,AGT0013,Medical,2024-01-19,2024-12-16,4139.7,481815.6,Semi-Annual,Renewed,1,2026-08-01
POL0000101,CUST005330,AGT0041,Medical,2023-11-28,2024-11-11,1187.98,83085.29,Annual,Renewed,1,2026-08-01
POL0000102,CUST004240,AGT0063,Motor,2024-03-15,2025-02-12,1971.39,52386.26,Annual,Expired,0,2026-08-01
POL0000103,CUST000654,AGT0031,Home,2024-04-22,2025-03-21,1696.79,113981.01,Monthly,Expired,0,2026-08-01
POL0000104,CUST001092,AGT0016,Travel,2023-08-21,2023-08-28,607.99,97114.83,Monthly,Renewed,1,2026-08-01
POL0000105,CUST000777,AGT0055,Motor,2024-02-29,2025-02-01,1658.1,103146.72,Annual,Expired,0,2026-08-01
POL0000106,CUST001455,AGT0051,Motor,2026-01-06,2027-02-05,1524.57,30464.78,Quarterly,Active,0,2026-08-01
POL0000107,CUST004794,AGT0032,Motor,2023-02-03,2024-01-08,1069.8,93907.97,Annual,Cancelled,0,2026-08-01
POL0000108,CUST004960,AGT0067,Travel,2025-05-30,2025-07-09,237.65,45397.88,Annual,Expired,0,2026-08-01
POL0000109,CUST005973,AGT0065,Medical,2026-02-20,2027-02-13,4733.92,340733.17,Quarterly,Active,0,2026-08-01
POL0000110,CUST000774,AGT0009,Life,2025-05-26,2026-05-28,3463.49,1231652.53,Monthly,Renewed,1,2026-08-01
POL0000111,CUST003376,AGT0048,Motor,2024-09-12,2025-08-08,1092.27,37133.55,Monthly,Renewed,1,2026-08-01
POL0000112,CUST004930,AGT0051,Home,2025-02-13,2026-03-02,897.66,699076.44,Semi-Annual,Expired,0,2026-08-01
POL0000113,CUST005786,AGT0017,Motor,2024-12-05,2025-12-17,1588.56,90547.17,Annual,Cancelled,0,2026-08-01
POL0000114,CUST000590,AGT0015,Medical,2024-05-09,2025-05-07,2425.34,280861.39,Monthly,Renewed,1,2026-08-01
POL0000115,CUST003977,AGT0014,Home,2026-01-11,2027-01-02,325.39,448516.5,Semi-Annual,Active,0,2026-08-01
POL0000116,CUST000480,AGT0027,Life,2025-05-11,2026-05-10,3330.2,1103370.69,Monthly,Renewed,1,2026-08-01
POL0000117,CUST000512,AGT0021,Medical,2023-03-15,2024-03-05,4766.53,370471.6,Monthly,Expired,0,2026-08-01
POL0000118,CUST005009,AGT0057,Travel,2025-08-20,2025-10-13,277.1,96318.05,Monthly,Expired,0,2026-08-01
POL0000119,CUST005558,AGT0074,Motor,2023-11-14,2024-12-11,1452.2,56197.88,Monthly,Expired,0,2026-08-01
POL0000120,CUST001113,AGT0037,Motor,2024-12-04,2025-11-28,2088.14,80814.59,Monthly,Renewed,1,2026-08-01
POL0000121,CUST005036,AGT0066,Motor,2023-08-11,2024-07-27,1080.46,150262.68,Annual,Cancelled,0,2026-08-01
POL0000122,CUST005470,AGT0041,Motor,2024-09-07,2025-09-22,2314.2,70079.55,Annual,Renewed,1,2026-08-01
POL0000123,CUST003216,AGT0078,Life,2023-07-09,2024-06-05,4362.89,1385288.3,Annual,Renewed,1,2026-08-01
POL0000124,CUST001029,AGT0031,Medical,2023-10-20,2024-10-20,3240.9,179570.41,Monthly,Renewed,1,2026-08-01
POL0000125,CUST004464,AGT0060,Medical,2026-02-08,2027-01-30,1536.3,297666.36,Annual,Active,0,2026-08-01
POL0000126,CUST003291,AGT0068,Travel,2023-04-20,2023-05-05,113.36,99481.54,Monthly,Expired,0,2026-08-01
POL0000127,CUST002110,AGT0074,Medical,2024-02-04,2025-01-29,4562.2,125908.09,Quarterly,Cancelled,0,2026-08-01
POL0000128,CUST005192,AGT0032,Motor,2023-02-23,2024-03-08,1198.16,98802.56,Semi-Annual,Expired,0,2026-08-01
POL0000129,CUST003695,AGT0029,Medical,2023-09-04,2024-08-30,2830.59,167520.43,Quarterly,Renewed,1,2026-08-01
POL0000130,CUST001586,AGT0002,Travel,2025-07-22,2025-08-17,460.98,51078.05,Monthly,Renewed,1,2026-08-01
POL0000131,CUST002480,AGT0050,Medical,2024-12-21,2025-12-16,1100.07,269450.73,Monthly,Expired,0,2026-08-01
POL0000132,CUST001856,AGT0045,Home,2024-03-31,2025-04-17,1355.67,324355.32,Monthly,Renewed,1,2026-08-01
POL0000133,CUST003163,AGT0032,Travel,2023-04-28,2023-06-18,488.68,97107.52,Annual,Renewed,1,2026-08-01
POL0000134,CUST001627,AGT0018,Travel,2025-07-14,2025-10-05,778.09,112160.69,Annual,Renewed,1,2026-08-01
POL0000135,CUST003820,AGT0070,Travel,2023-12-01,2024-02-10,163.39,114663.59,Monthly,Renewed,1,2026-08-01
POL0000136,CUST002689,AGT0080,Life,2024-10-25,2025-10-25,2175.76,392570.66,Annual,Expired,0,2026-08-01
POL0000137,CUST000324,AGT0080,Home,2023-06-16,2024-07-07,687.8,355995.55,Annual,Expired,0,2026-08-01
POL0000138,CUST000034,AGT0037,Life,2024-08-07,2025-09-05,2968.58,1457842.93,Monthly,Expired,0,2026-08-01
POL0000139,CUST000577,AGT0060,Medical,2026-02-15,2027-02-03,4959.41,462095.3,Semi-Annual,Active,0,2026-08-01
POL0000140,CUST000964,AGT0067,Motor,2025-04-02,2026-04-10,1821.94,167255.61,Monthly,Expired,0,2026-08-01
POL0000141,CUST000495,AGT0063,Travel,2024-09-13,2024-11-20,273.62,99094.03,Monthly,Cancelled,0,2026-08-01
POL0000142,CUST003970,AGT0029,Medical,2023-08-28,2024-09-06,1902.6,301650.65,Quarterly,Renewed,1,2026-08-01
POL0000143,CUST003570,AGT0071,Travel,2023-12-13,2023-12-21,472.45,89197.93,Monthly,Cancelled,0,2026-08-01
POL0000144,CUST000126,AGT0053,Home,2026-07-04,2027-07-24,601.72,678758.34,Annual,Active,0,2026-08-01
POL0000145,CUST002478,AGT0008,Medical,2026-05-09,2027-04-30,1337.47,70867.72,Annual,Active,0,2026-08-01
POL0000146,CUST001763,AGT0014,Medical,2024-03-07,2025-04-04,3620.57,122253.55,Monthly,Cancelled,0,2026-08-01
POL0000147,CUST003001,AGT0039,Motor,2025-04-19,2026-03-23,2003.01,63321.94,Monthly,Renewed,1,2026-08-01
POL0000148,CUST003511,AGT0076,Medical,2025-10-02,2026-10-13,1311.5,339746.88,Monthly,Active,0,2026-08-01
POL0000149,CUST003002,AGT0059,Life,2024-06-21,2025-06-14,4131.95,470195.85,Quarterly,Expired,0,2026-08-01
POL0000150,CUST002393,AGT0052,Medical,2023-11-20,2024-11-13,3401.46,113192.89,Monthly,Cancelled,0,2026-08-01
POL0000151,CUST000243,AGT0049,Medical,2024-03-13,2025-03-11,3668.24,93745.48,Semi-Annual,Renewed,1,2026-08-01
POL0000152,CUST004756,AGT0074,Medical,2024-09-03,2025-09-12,1034.38,453267.73,Quarterly,Cancelled,0,2026-08-01
POL0000153,CUST004777,AGT0044,Motor,2024-04-15,2025-05-07,2229.25,128099.65,Monthly,Expired,0,2026-08-01
POL0000154,CUST005158,AGT0033,Motor,2024-10-14,2025-09-27,1751.35,87388.88,Annual,Renewed,1,2026-08-01
POL0000155,CUST004205,AGT0031,Motor,2023-07-21,2024-08-10,1542.57,35732.48,Monthly,Expired,0,2026-08-01
POL0000156,CUST001965,AGT0042,Travel,2024-02-05,2024-05-04,407.11,102683.36,Semi-Annual,Expired,0,2026-08-01
POL0000157,CUST004128,AGT0018,Motor,2023-08-22,2024-09-05,1615.48,119297.71,Annual,Cancelled,0,2026-08-01
POL0000158,CUST005409,AGT0077,Motor,2024-03-31,2025-04-11,2331.89,21165.34,Monthly,Expired,0,2026-08-01
POL0000159,CUST000206,AGT0074,Medical,2024-01-02,2024-12-22,3888.5,194573.84,Semi-Annual,Renewed,1,2026-08-01
POL0000160,CUST003044,AGT0031,Life,2024-07-22,2025-07-03,2858.89,1172696.26,Annual,Expired,0,2026-08-01
POL0000161,CUST003911,AGT0059,Life,2026-07-29,2027-07-12,1272.71,1310289.99,Monthly,Active,0,2026-08-01
POL0000162,CUST005911,AGT0062,Medical,2025-12-28,2026-12-19,2581.96,164180.62,Semi-Annual,Active,0,2026-08-01
POL0000163,CUST003003,AGT0050,Life,2025-03-19,2026-03-13,2299.9,724925.45,Monthly,Renewed,1,2026-08-01
POL0000164,CUST005278,AGT0009,Life,2024-10-15,2025-09-24,4719.95,1182188.57,Quarterly,Renewed,1,2026-08-01
POL0000165,CUST004564,AGT0007,Travel,2024-03-11,2024-05-18,566.26,97540.91,Annual,Expired,0,2026-08-01
POL0000166,CUST004740,AGT0058,Life,2023-04-26,2024-04-05,3071.25,594470.09,Annual,Cancelled,0,2026-08-01
POL0000167,CUST000582,AGT0009,Life,2025-03-20,2026-04-18,6205.51,1460237.58,Annual,Expired,0,2026-08-01
POL0000168,CUST003026,AGT0066,Motor,2023-10-11,2024-10-08,2567.91,101651.28,Annual,Expired,0,2026-08-01
POL0000169,CUST004481,AGT0035,Medical,2023-02-20,2024-01-21,2973.69,331733.39,Annual,Renewed,1,2026-08-01
POL0000170,CUST000749,AGT0065,Travel,2026-07-12,2026-09-01,433.25,85472.59,Monthly,Active,0,2026-08-01
POL0000171,CUST005771,AGT0011,Motor,2023-10-01,2024-09-28,941.1,40570.6,Annual,Expired,0,2026-08-01
POL0000172,CUST004106,AGT0032,Motor,2023-04-28,2024-04-21,2381.1,107337.88,Semi-Annual,Renewed,1,2026-08-01
POL0000173,CUST005106,AGT0012,Life,2025-02-14,2026-02-04,2031.08,492032.59,Monthly,Renewed,1,2026-08-01
POL0000174,CUST003797,AGT0040,Home,2025-04-26,2026-04-26,1242.72,99658.77,Monthly,Renewed,1,2026-08-01
POL0000175,CUST005366,AGT0007,Motor,2023-12-24,2025-01-07,1961.51,45910.18,Monthly,Expired,0,2026-08-01
POL0000176,CUST005402,AGT0023,Travel,2023-10-03,2023-12-13,332.88,140391.2,Semi-Annual,Renewed,1,2026-08-01
POL0000177,CUST000455,AGT0024,Motor,2023-07-02,2024-07-05,978.67,148090.26,Quarterly,Renewed,1,2026-08-01
POL0000178,CUST005624,AGT0041,Travel,2024-07-18,2024-08-01,576.99,22875.45,Annual,Renewed,1,2026-08-01
POL0000179,CUST003178,AGT0001,Travel,2024-06-14,2024-08-27,330.14,99240.13,Monthly,Renewed,1,2026-08-01
POL0000180,CUST002933,AGT0026,Travel,2024-04-11,2024-04-22,180.8,96505.61,Semi-Annual,Renewed,1,2026-08-01
POL0000181,CUST001480,AGT0059,Home,2026-04-22,2027-05-01,1670.92,466096.22,Monthly,Active,0,2026-08-01
POL0000182,CUST002426,AGT0033,Home,2026-07-01,2027-06-22,1029.87,198113.88,Annual,Active,0,2026-08-01
POL0000183,CUST003270,AGT0048,Home,2026-02-16,2027-02-13,1350.65,847255.95,Monthly,Active,0,2026-08-01
POL0000184,CUST003197,AGT0069,Medical,2024-12-21,2026-01-08,2262.49,284037.0,Monthly,Expired,0,2026-08-01
POL0000185,CUST004240,AGT0041,Medical,2026-06-11,2027-06-16,1622.21,379786.28,Monthly,Active,0,2026-08-01
POL0000186,CUST004076,AGT0071,Motor,2023-11-23,2024-11-24,862.05,155920.19,Monthly,Expired,0,2026-08-01
POL0000187,CUST004481,AGT0079,Motor,2025-08-27,2026-07-29,1420.26,174058.34,Monthly,Renewed,1,2026-08-01
POL0000188,CUST003471,AGT0043,Life,2025-02-27,2026-03-27,1491.07,253051.49,Monthly,Expired,0,2026-08-01
POL0000189,CUST005950,AGT0039,Motor,2025-03-15,2026-03-13,2582.18,81478.27,Monthly,Expired,0,2026-08-01
POL0000190,CUST005272,AGT0026,Home,2023-04-04,2024-03-23,649.97,510868.54,Quarterly,Expired,0,2026-08-01
POL0000191,CUST005746,AGT0070,Motor,2023-07-08,2024-07-06,1026.61,112508.64,Monthly,Renewed,1,2026-08-01
POL0000192,CUST004345,AGT0063,Motor,2026-04-26,2027-05-24,2278.21,165644.35,Quarterly,Active,0,2026-08-01
POL0000193,CUST001483,AGT0016,Motor,2023-12-17,2024-11-20,2238.49,97016.37,Monthly,Expired,0,2026-08-01
POL0000194,CUST005788,AGT0053,Motor,2024-03-25,2025-02-25,2594.07,142612.72,Monthly,Expired,0,2026-08-01
POL0000195,CUST005494,AGT0022,Motor,2025-06-15,2026-06-20,1239.12,91963.74,Annual,Renewed,1,2026-08-01
POL0000196,CUST001781,AGT0080,Life,2026-02-28,2027-03-19,1479.31,637788.89,Annual,Active,0,2026-08-01
POL0000197,CUST005305,AGT0027,Motor,2024-06-02,2025-06-26,2101.83,61599.1,Monthly,Renewed,1,2026-08-01
POL0000198,CUST003133,AGT0007,Travel,2025-11-23,2026-02-09,698.3,59470.51,Quarterly,Cancelled,0,2026-08-01
POL0000199,CUST004341,AGT0080,Medical,2025-03-13,2026-02-07,2470.01,336335.59,Quarterly,Renewed,1,2026-08-01
POL0000200,CUST002053,AGT0049,Life,2023-09-02,2024-09-03,6628.17,177607.36,Monthly,Renewed,1,2026-08-01
POL0000201,CUST001546,AGT0073,Life,2025-01-01,2025-12-13,5676.47,537224.59,Monthly,Cancelled,0,2026-08-01
POL0000202,CUST002413,AGT0072,Motor,2026-06-11,2027-05-16,1537.76,127961.51,Semi-Annual,Active,0,2026-08-01
POL0000203,CUST001130,AGT0036,Motor,2026-07-10,2027-06-26,2095.6,34330.36,Monthly,Active,0,2026-08-01
POL0000204,CUST000848,AGT0036,Travel,2026-07-20,2026-09-28,60.76,90261.76,Quarterly,Active,0,2026-08-01
POL0000205,CUST002614,AGT0068,Life,2023-04-06,2024-04-05,3169.31,742874.26,Monthly,Expired,0,2026-08-01
POL0000206,CUST005687,AGT0031,Motor,2025-11-18,2026-10-27,1105.98,30420.24,Annual,Active,0,2026-08-01
POL0000207,CUST000235,AGT0019,Life,2024-09-12,2025-09-25,2970.57,207018.51,Annual,Expired,0,2026-08-01
POL0000208,CUST001964,AGT0046,Medical,2024-08-13,2025-09-12,1877.86,320368.8,Monthly,Renewed,1,2026-08-01
POL0000209,CUST001704,AGT0048,Motor,2024-07-06,2025-07-14,2087.05,104482.54,Quarterly,Cancelled,0,2026-08-01
POL0000210,CUST001247,AGT0066,Motor,2025-05-29,2026-05-22,2292.27,135316.26,Monthly,Cancelled,0,2026-08-01
POL0000211,CUST000441,AGT0013,Life,2024-10-19,2025-10-14,2245.35,974012.38,Monthly,Renewed,1,2026-08-01
POL0000212,CUST001055,AGT0039,Medical,2023-04-16,2024-04-01,2752.63,271459.19,Monthly,Renewed,1,2026-08-01
POL0000213,CUST003148,AGT0047,Medical,2024-05-28,2025-06-25,3514.29,244326.3,Monthly,Expired,0,2026-08-01
POL0000214,CUST002562,AGT0077,Motor,2026-04-18,2027-04-01,1060.01,70939.01,Annual,Active,0,2026-08-01
POL0000215,CUST003700,AGT0018,Motor,2023-06-26,2024-06-12,1449.35,26417.12,Semi-Annual,Renewed,1,2026-08-01
POL0000216,CUST005138,AGT0050,Motor,2023-10-17,2024-09-17,1151.85,32511.43,Semi-Annual,Cancelled,0,2026-08-01
